PACKAGE_NAME,RISK_LEVEL,PROB_MALICIOUS
@voiceflow@natural-language-commander,HIGH,1.0
@voiceflow@nestjs-common,HIGH,1.0
@voiceflow@nestjs-mongodb,HIGH,1.0
@voiceflow@nestjs-rate-limit,HIGH,1.0
@voiceflow@nestjs-redis,HIGH,1.0
@voiceflow@openai,HIGH,1.0
@voiceflow@pino,HIGH,1.0
@voiceflow@pino-pretty,HIGH,1.0
@voiceflow@react-chat,HIGH,1.0
@voiceflow@runtime,HIGH,1.0
@voiceflow@runtime-client-js,HIGH,1.0
@voiceflow@sdk-runtime,HIGH,1.0
@voiceflow@slate-serializer,HIGH,1.0
@voiceflow@stitches-react,HIGH,1.0
@voiceflow@test-common,HIGH,1.0
@voiceflow@tsconfig-paths,HIGH,1.0
@voiceflow@utils-designer,HIGH,1.0
@voiceflow@vite-config,HIGH,1.0
@voiceflow@voice-types,HIGH,1.0
@voiceflow@voiceflow-types,HIGH,1.0
@zapier@ai-actions,HIGH,1.0
@zapier@ai-actions-react,HIGH,1.0
@zapier@babel-preset-zapier,HIGH,1.0
@zapier@browserslist-config-zapier,HIGH,1.0
@zapier@eslint-plugin-zapier,HIGH,1.0
@zapier@mcp-integration,HIGH,1.0
@zapier@secret-scrubber,HIGH,1.0
@zapier@spectral-api-ruleset,HIGH,1.0
@zapier@stubtree,HIGH,1.0
@zapier@zapier-sdk,HIGH,1.0
ai-crowl-shield,HIGH,1.0
asyncapi-preview,HIGH,1.0
automation_model,HIGH,1.0
axios-builder,HIGH,1.0
axios-timed,HIGH,1.0
best_gpio_controller,HIGH,1.0
bidirectional-adapter,HIGH,1.0
bytecode-checker-cli,HIGH,1.0
calc-loan-interest,HIGH,1.0
chrome-extension-downloads,HIGH,1.0
claude-token-updater,HIGH,1.0
coinmarketcap-api,HIGH,1.0
colors-regex,HIGH,1.0
command-irail,HIGH,1.0
compare-obj,HIGH,1.0
composite-reducer,HIGH,1.0
create-director-app,HIGH,1.0
create-glee-app,HIGH,1.0
create-hardhat3-app,HIGH,1.0
create-mcp-use-app,HIGH,1.0
designstudiouiux,HIGH,1.0
dialogflow-es,MEDIUM,0.12528
discord-bot-server,HIGH,1.0
docusaurus-plugin-vanilla-extract,HIGH,1.0
dotnet-template,HIGH,1.0
drop-events-on-property-plugin,HIGH,1.0
email-deliverability-tester,HIGH,1.0
eslint-config-zeallat-base,HIGH,1.0
evm-checkcode-cli,HIGH,1.0
exact-ticker,HIGH,1.0
expo-audio-session,HIGH,1.0
fat-fingered,HIGH,1.0
feature-flip,HIGH,1.0
fittxt,HIGH,1.0
gate-evm-check-code2,HIGH,1.0
gate-evm-tools-test,HIGH,1.0
generator-ng-itobuz,HIGH,1.0
github-action-for-generator,HIGH,1.0
gitsafe,HIGH,1.0
go-template,HIGH,1.0
hope-mapboxdraw,HIGH,1.0
hopedraw,HIGH,1.0
hover-design-prototype,HIGH,1.0
ids-css,HIGH,1.0
ids-enterprise-mcp-server,HIGH,1.0
ids-enterprise-typings,HIGH,1.0
iron-shield-miniapp,HIGH,1.0
ito-button,HIGH,1.0
itobuz-angular,HIGH,1.0
itobuz-angular-button,HIGH,1.0
jaetut-varit-test,HIGH,1.0
jquery-bindings,HIGH,1.0
jsonsurge,HIGH,1.0
kill-port,HIGH,1.0
korea-administrative-area-geo-json-util,HIGH,1.0
kwami,HIGH,1.0
lang-codes,HIGH,1.0
manual-billing-system-miniapp-api,HIGH,1.0
mcp-use,HIGH,1.0
medusa-plugin-logs,HIGH,1.0
medusa-plugin-momo,HIGH,1.0
medusa-plugin-product-reviews-kvy,HIGH,1.0
medusa-plugin-zalopay,HIGH,1.0
mon-package-react-typescript,HIGH,1.0
n8n-nodes-vercel-ai-sdk,HIGH,1.0
n8n-nodes-viral-app,HIGH,1.0
ngx-useful-swiper-prosenjit,HIGH,1.0
ngx-wooapi,HIGH,1.0
normal-store,HIGH,1.0
okta-react-router-6,HIGH,1.0
orbit-boxicons,HIGH,1.0
orbit-nebula-draw-tools,HIGH,1.0
orbit-nebula-editor,HIGH,1.0
orbit-soap,HIGH,1.0
orchestrix,HIGH,1.0
parcel-plugin-asset-copier,HIGH,1.0
pdf-annotation,HIGH,1.0
poper-react-sdk,HIGH,1.0
posthog-docusaurus,HIGH,1.0
posthog-js,HIGH,1.0
posthog-node,HIGH,1.0
posthog-react-native,HIGH,1.0
prime-one-table,HIGH,1.0
ra-data-firebase,HIGH,1.0
react-element-prompt-inspector,HIGH,1.0
react-jam-icons,HIGH,1.0
react-keycloak-context,HIGH,1.0
react-library-setup,HIGH,1.0
react-micromodal.js,HIGH,1.0
react-native-email,HIGH,1.0
react-native-get-pixel-dimensions,HIGH,1.0
react-native-google-maps-directions,HIGH,1.0
react-native-retriable-fetch,HIGH,1.0
react-native-use-modal,HIGH,1.0
react-native-view-finder,HIGH,1.0
react-native-websocket,HIGH,1.0
react-native-worklet-functions,HIGH,1.0
rediff,HIGH,1.0
rediff-viewer,HIGH,1.0
redux-router-kit,HIGH,1.0
shinhan-limit-scrap,HIGH,1.0
skills-use,HIGH,1.0
super-commit,HIGH,1.0
tanstack-shadcn-table,HIGH,1.0
tcsp,HIGH,1.0
tcsp-draw-test,HIGH,1.0
tcsp-test-vd,HIGH,1.0
template-micro-service,HIGH,1.0
test-hardhat-app,HIGH,1.0
test23112222-api,HIGH,1.0
tiaan,HIGH,1.0
undefsafe-typed,HIGH,1.0
url-encode-decode,HIGH,1.0
vf-oss-template,HIGH,1.0
web-scraper-mcp,HIGH,1.0
zapier-async-storage,HIGH,1.0
zapier-platform-cli,HIGH,1.0
zapier-platform-core,HIGH,1.0
zapier-platform-legacy-scripting-runner,HIGH,1.0
zapier-platform-schema,HIGH,1.0
zuper-cli,HIGH,1.0
zuper-sdk,HIGH,1.0
zuper-stream,HIGH,1.0
RISK_BANDS,,score <= 0.04880 => LOW; 0.04880 < score < 0.23870 => MEDIUM; score >= 0.23870 => HIGH
