Feature	Group	Meaning	RiskLevel
B1_total_providers	B	Total cloud providers referenced (context only).	None
B1_total_refs	B	Total external references detected.	None
B1_total_secrets	B	Secrets found in provider contexts.	High
			
B2	Category	B2 detects **event-driven behavior** (publish, update, change events). Often benign, used to detect automation.	N/A
B2_AWS	B	Event-driven references for AWS.	Medium
B2_Azure	B	Event or publish references for Azure.	Medium
B2_EXCHANGE	B	Exchange/communication event references.	Medium
B2_GCP	B	Event-driven references for GCP.	Medium
B2_GitHub	B	Event/publish references for GitHub.	Low
B2_GitLab	B	Event/publish references for GitLab.	Low
B2_OTHER	B	Miscellaneous event references.	Low
B2_PUBLISH	B	References to publishing events or log streams.	Medium
B2_Unknown	B	Event provider unknown.	Low
B2_VALIDATE	B	Validation-related events.	Low
B2_npm	B	Event references for npm.	Low
B2_total_events	B	Total event references (context only).	None
B2_total_providers	B	Total event providers (context only).	None
			
C1	Category	C1 detects **all HTTP/HTTPS URLs**, including cloud, developer hosts, generic domains, and suspicious IPs.	N/A
C1_API_AWS_GENERIC	C	AWS API endpoints detected via URL/domain.	Medium
C1_API_GITHUB_GIST	C	GitHub Gist API URLs.	Low
C1_API_MS_GRAPH	C	Microsoft Graph API calls.	Medium
C1_API_PASTEBIN	C	Pastebin API URLs (exfiltration risk).	High
C1_CLOUD_PROVIDER	C	Generic cloud provider URLs.	Medium
C1_DEV_HOST	C	Developer hosting platforms (GitHub, GitLab raw).	Low
C1_GENERIC_DOMAIN	C	Non-suspicious domains.	Low
C1_LOCALHOST	C	Localhost URLs.	Low
C1_PACKAGE_INFRA	C	npm or registry infrastructure URLs.	Low
C1_domain_url_hits	C	Total domain-based URL hits.	Low
C1_ip_url_hits	C	Raw IP URL hits.	High
C1_raw_url_hits	C	All URL hits (before filtering).	None
C1_skipped_invalid_urls	C	Malformed URLs skipped.	None
C1_suspicious_ip_hits	C	Suspicious IP endpoints used for C2/exfil.	High
C1_valid_url_hits	C	Valid URL hits (context).	None
			
C2	Category	C2 detects **non-HTTP endpoints**, including exfil channels, auth tokens, and non-standard C2 paths.	N/A
C2_cloud_auth	C	Cloud authentication tokens or credentials.	High
C2_dev_code_host	C	Developer-code-hosting references (context only).	Low
C2_other_suspicious	C	Suspicious non-http endpoints.	High
C2_sink_exfil	C	Non-http sink endpoints for exfiltration.	High
C2_total_hits	C	Total C2 hits.	None
			
C3	Category	C3 detects **runtime capabilities** (networking, IPC, execution), showing what the malware *can do*.	N/A
C3_generic_exec_like	C	Generic execution-related calls.	Medium
C3_net_fetch	C	Fetch-like networking calls.	Medium
C3_net_generic_request	C	Generic HTTP request constructors.	Medium
C3_net_node_dns_module	C	Node DNS module usage.	Low
C3_net_node_http_module	C	Node HTTP module usage.	Low
C3_net_websocket	C	WebSocket communication.	Medium
C3_net_xmlhttprequest	C	Browser-style XHR.	Low
C3_other_capability	C	Other network or runtime capability.	Low
C3_proc_child_exec	C	Child_process exec/spawn usage.	High
C3_total_hits	C	Total capability hits.	None
			
D1	Category	D1 detects **ecosystem behaviors** such as push, publish, and toolchain usage in source files.	N/A
D1_auth	D	Auth-related install behavior.	Medium
D1_ecosystem_bun	D	References to Bun toolchain.	Low
D1_ecosystem_cargo	D	Cargo/Rust references.	Low
D1_ecosystem_docker	D	Docker-based install scripts.	Medium
D1_ecosystem_dotnet	D	.NET toolchain references.	Low
D1_ecosystem_flit	D	Python flit references.	Low
D1_ecosystem_gh	D	GitHub-related install ops.	Low
D1_ecosystem_git	D	Git-based install operations.	Medium
D1_ecosystem_go	D	Go ecosystem references.	Low
D1_ecosystem_gradle	D	Gradle ecosystem references.	Low
D1_ecosystem_mvn	D	Maven references.	Low
D1_ecosystem_npm	D	npm install behavior.	Low
D1_ecosystem_nuget	D	NuGet references.	Low
D1_ecosystem_pip	D	pip references.	Low
D1_ecosystem_pnpm	D	pnpm references.	Low
D1_ecosystem_podman	D	Podman references.	Low
D1_ecosystem_poetry	D	poetry references.	Low
D1_ecosystem_yarn	D	yarn references.	Low
D1_publish	D	Package attempts to publish content.	High
D1_push	D	Package pushes content externally.	High
D1_total_hits	D	Total D1 hits.	None
			
D2	Category	D2 detects **lifecycle hooks and installation-time behavior**, often abused for malicious persistence.	N/A
D2_lifecycle_hook_string	D	Install lifecycle hooks (install, postinstall, etc.).	High
D2_pkg_json_write	D	Modification of package.json.	High
D2_scripts_field_touch	D	Scripts field manipulation.	Medium
D2_total_hits	D	Total D2 hits.	None
D2_unknown_prefix	D	Unknown lifecycle prefix.	Medium
			
E2	Category	E2 detects **long-line patterns**, indicative of obfuscation, minified payloads, or packed code.	N/A
E2_bin_100000_999999	E	Lines between 100k–999k chars.	Medium
E2_bin_10000_99999	E	Lines between 10k–99k chars.	Medium
E2_bin_1000_9999	E	Lines between 1k–9k chars.	Low
E2_bin_100_999	E	Lines between 100–999 chars.	Low
E2_bin_ge_1000000	E	Lines >1 million chars.	High
E2_total_long_lines	E	Total long-line occurrences.	None
			
FILESIZE_bytes	System	Total size of source files corresponding to score-file hits.	None
PACKAGE_SIZE_BYTES	System	Total size of the full package under extracted/.	None
